Menu_Item_ID,Year,Restaurant_Item_Name,restaurant,Restaurant_ID,Item_Name,Item_Description,Food_Category,Serving_Size,Serving_Size_text,Serving_Size_Unit,Serving_Size_household,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Potassium,Carbohydrates,Protein,Sugar,Dietary_Fiber
45339,2018,Jersey Mike's Subs #4 The Number Four on Wheat Wrap,Jersey Mike's Subs,45,#4 The Number Four on Wheat Wrap,"#4 The Number Four on Wheat Wrap w/ Provolone, Prosciuttini & Cappacuolo, Cold Subs",Sandwiches,385,,g,,560,20,9,0,60,1995,,62,33,5,7
45365,2018,Jersey Mike's Subs #10 Tuna Fish on Wheat Wrap,Jersey Mike's Subs,45,#10 Tuna Fish on Wheat Wrap,"#10 Tuna Fish on Wheat Wrap w/ Tuna, Celery, Mayonnaise & Pepper, Cold Subs, also called Albacore Tuna Salad",Sandwiches,418,,g,,720,49,8.5,0,85,1505,,62,32,5,7
10619,2018,"Baskin Robbins Made w/ M&Ms Soft Serve Parfait, Mini",Baskin Robbins,5,"Made w/ M&Ms Soft Serve Parfait, Mini","Made w/ M&Ms Soft Serve Parfait, Mini, Parfaits, Specialties, Ice Cream, Soft Serve Parfaits",Desserts,203,,g,1 Serving,400,15,11,0,35,210,,56,9,49,2
179388,2018,Whataburger Mushroom Swiss Burger Jr Whatameal,Whataburger,89,Mushroom Swiss Burger Jr Whatameal,"Mushroom Swiss Burger Jr Whatameal w/ All Beef Patty, Grilled Mushrooms, 2 Slices of Swiss Cheese & Au Jus Sauce on a Small White Bun w/ Medium French Fries & 32 oz Coca Cola, Burgers, Limited Time Offer",Burgers,1264,,g,,1490,63,17,1,85,1650,,201,36,119,6
34827,2018,Whataburger Garden Salad w/ Grilled Chicken,Whataburger,89,Garden Salad w/ Grilled Chicken,"Garden Salad w/ Grilled Chicken, Romaine Lettuce, Grape Tomatoes, Matchstick Carrots & Mild Cheddar Cheese, Sides & Salads, Under 550 Calories; Choice of: Dressing",Salads,396,,g,,290,12,7,0,110,770,,12,34,4,6
174207,2018,"Jersey Mike's Subs #1 BLT, In a Tub",Jersey Mike's Subs,45,"#1 BLT, In a Tub","#1 BLT, In a Tub w/out Mayonnaise, Cold Subs",Salads,166,,g,,260,21,9.5,0,45,790,,6,12,3,0
121769,2018,Jack in the Box Double Jack,Jack in the Box,42,Double Jack,"Double Jack w/ 2 Beef Patties, American Cheese, Tomatoes, Lettuce & Mayonnaise on Buttery Bun, Burgers, Burgers & More",Burgers,319,,g,,830,58,22,3,140,1130,600,34,46,7,2
45181,2018,Jersey Mike's Subs #6 Roast Beef & Provolone on White Giant,Jersey Mike's Subs,45,#6 Roast Beef & Provolone on White Giant,"#6 Roast Beef & Provolone on White Giant w/ Roast Beef & Provolone, Cold Subs",Sandwiches,765,,g,,1330,42.5,18.5,0.5,235,1680,,128,106,13,5
171029,2018,"Carl's Jr. The Breakfast Burger, Double",Carl's Jr.,15,"The Breakfast Burger, Double","The Breakfast Burger, Double, Breakfast",Burgers,377,,g,,1080,64,26,2,305,1870,,68,59,13,4
118803,2018,Bob Evans Twisted Cheese Sticks,Bob Evans,8,Twisted Cheese Sticks,"Twisted Cheese Sticks w/ Asiago Cheese, Mozzarella Cheese & Marinara Sauce, Appetizers, Lunch",Baked Goods,257,,g,,640,38,15,0,60,2030,,52,22,6,5
45134,2018,Jersey Mike's Subs Chef Salad,Jersey Mike's Subs,45,Chef Salad,"Chef Salad w/out Dressing, Salads; Choice of Adding: Dressing",Salads,458,,g,,255,10,6,0,60,635,,16,25,8,4
177970,2018,Starbucks Cubano Sandwich,Starbucks,80,Cubano Sandwich,"Cubano Sandwich w/ BBQ Pulled Pork, Jalapeno Spread, BBQ Pork Loin, Swiss Cheese & Dill Pickle on Potato Flatbread, Mercato, Food",Sandwiches,198,,g,,430,23,8,0,60,1140,,34,21,3,3
793,2018,"Subway Tuna, 6 in",Subway,82,"Tuna, 6 in","Tuna w/ Tuna, Mayo, Lettuce, Tomatoes, Onions, Green Peppers & Cucumbers on 9 Grain Wheat Bread, 6 in, 6 in Sandwiches, Sandwiches, All Sandwiches",Sandwiches,237,,g,,480,25,4.5,0,40,580,,44,20,7,5
45185,2018,Jersey Mike's Subs #7 Turkey Breast & Provolone on Wheat Giant,Jersey Mike's Subs,45,#7 Turkey Breast & Provolone on Wheat Giant,"#7 Turkey Breast & Provolone on Wheat Giant w/ Fat Free Turkey Breast & Provolone, Cold Subs",Sandwiches,738,,g,,990,20,10.5,0.5,110,3130,,129,73,14,9
170681,2018,"Bob Evans Cranberry Pecan Chicken Salad, Regular, 2pm Close",Bob Evans,8,"Cranberry Pecan Chicken Salad, Regular, 2pm Close","Cranberry Pecan Chicken Salad w/ Chicken, Salad Base, Bleu Cheese, Dried Cranberries, Honey Roasted Pecans, Bacon, Wildfire Ranch & English Muffin, Regular, Salads, 2pm Close Restaurants, Lunch, Carryout",Salads,351,,g,,610,31,8,1,75,1340,,52,33,19,7
45264,2018,Jersey Mike's Subs #18 Grilled Chicken Parmesan on Wheat Regular,Jersey Mike's Subs,45,#18 Grilled Chicken Parmesan on Wheat Regular,"#18 Grilled Chicken Parmesan on Wheat Regular, Hot Subs",Sandwiches,331,,g,,620,18,8,0,100,1460,,65,51,7,5
45315,2018,Jersey Mike's Subs #31 California Chicken Cheese Steak on White Giant,Jersey Mike's Subs,45,#31 California Chicken Cheese Steak on White Giant,"#31 California Chicken Cheese Steak on White Giant w/ Chicken, White American Cheese, Lettuce, Tomato & Mayonnaise, Hot Subs",Sandwiches,916,,g,,1800,95,29,1,325,3975,,143,91,21,4
45238,2018,Jersey Mike's Subs Chicken Salad on Wheat Mini,Jersey Mike's Subs,45,Chicken Salad on Wheat Mini,"Chicken Salad on Wheat Mini w/out Vinegar, Oil & Mayonnaise, Cold Subs",Sandwiches,267,,g,,500,29,4,0,50,835,,44,15,5,4
45412,2018,Jersey Mike's Subs #42 Chipotle Chicken Cheese Steak on Spinach Wrap,Jersey Mike's Subs,45,#42 Chipotle Chicken Cheese Steak on Spinach Wrap,"#42 Chipotle Chicken Cheese Steak on Spinach Wrap w/ Chicken, Grilled Onions, Peppers, White American Cheese & Chipotle Mayonnaise, Hot Subs",Sandwiches,413,,g,,990,59,17.5,0,155,2675,,71,46,12,4
45327,2018,Jersey Mike's Subs #4 The Number Four on Spinach Wrap,Jersey Mike's Subs,45,#4 The Number Four on Spinach Wrap,"#4 The Number Four on Spinach Wrap w/ Provolone, Prosciuttini & Cappacuolo, Cold Subs",Sandwiches,385,,g,,570,20,9.5,0,60,2095,,64,33,8,4
588,2018,Arby's Roast Turkey Ranch & Bacon Sandwich,Arby's,3,Roast Turkey Ranch & Bacon Sandwich,"Roast Turkey Ranch & Bacon Sandwich on Honey Wheat Bread w/ Roast Turkey, Pepper Bacon, Cheddar Cheese, Tomato, Red Onion, Leaf Lettuce & Parmesan Peppercorn Ranch, Turkey, Pepper Bacon, Market Fresh",Sandwiches,344,,g,,800,34,10,0.5,80,2420,,79,45,16,5
176189,2018,Perkins Grilled Chicken Classic,Perkins,66,Grilled Chicken Classic,"Grilled Chicken Classic w/ Blended Soybean Oil, Chicken Breast, Lettuce, Red Onions, Pickles, Tomatoes & Whipped Butter Blend on Brioche Style Hamburger Bun, Handhelds, Lunch & Dinners; Choice of Adding: Fries, Tots, Fruit, Garden Salad or Cup of Fruit; Choice of: American Cheese, Cheddar Cheese, Pepper Jack Cheese or Swiss Cheese; Choice of Adding: Fries, Tots, Garden Salad, Cup of Soup or Fruit",Sandwiches,360,,g,,510,20,5,0,95,1430,,44,38,10,1
160214,2018,"Subway Steak, Egg White & Cheese Flatbread, 6 in",Subway,82,"Steak, Egg White & Cheese Flatbread, 6 in","Steak, Egg White & Cheese Flatbread, 6 in, Omelet on 6 in Flatbread w/ Egg White, Breakfast & Pizza",Sandwiches,225,,g,,410,12,4,0,35,1320,,45,29,3,2
174243,2018,Jersey Mike's Subs Baja Chicken Wrap on Wheat Wrap,Jersey Mike's Subs,45,Baja Chicken Wrap on Wheat Wrap,"Gatorade Fruit Punch, Large, 32 oz, Beverages, Sides, Drinks & Desserts",Sandwiches,462,,g,,670,26,11.5,0,115,2640,,61,49,9,8
161579,2018,Whataburger Monterey Melt Whatameal w/ Lower Calorie Sides,Whataburger,89,Monterey Melt Whatameal w/ Lower Calorie Sides,"Monterey Melt Whatameal w/ Lower Calorie Sides, 2 100% Beef Patties, American Cheese, Monterey Jack Cheese, Grilled Peppers, Onions & Jalapeno Ranch Dressing on a Small White Bun w/ Apple Slices & Unsweetened Iced Tea, All Time Favorites, Only Available in Texas, Oklahoma & Arkansas, Excluding West Texas",Burgers,1404,,g,,1130,68,23,2,135,2210,,72,55,17,5
45314,2018,Jersey Mike's Subs #31 California Chicken Cheese Steak on White Regular,Jersey Mike's Subs,45,#31 California Chicken Cheese Steak on White Regular,"#31 California Chicken Cheese Steak on White Regular w/ Chicken, White American Cheese, Lettuce, Tomato & Mayonnaise, Hot Subs",Sandwiches,469,,g,,910,48,14,0,165,1990,,72,46,11,2
