"ï..No.","Item_Name","Food_Category","Serving_Size","Calories","Total_Fat","Saturated_Fat","Trans_Fat","Cholesterol","Sodium","Carbohydrates","Protein","Sugar","Dietary_Fiber"
279,"Caramel Cashew Sundae, 1 Scoop","Desserts",211,600,33,14.5,0.5,120,290,67,10,45,1
2740,"#19 BBQ Beef on White Regular","Sandwiches",357,780,18,5.5,0,130,1765,96,59,27,2
2304,"#10 Tuna Salad on White Giant","Sandwiches",761,1480,77,12,0,155,2740,135,58,14,5
1382,"Albuquerque Turkey, 6 in","Sandwiches",298.2,430,14,3.5,0,30,1230,51,24,9,8
582,"Frisco Breakfast Sandwich","Sandwiches",189,450,19,8,NA,230,1570,45,24,5,2
281,"Caramel Cashew Sundae, 3 Scoops","Desserts",449,1150,61,31.5,1.5,290,510,137,19,98,1
1562,"The Ranchero Zalad","Salads",464,630,38,10,NA,125,1260,31,40,8,9
2367,"Vanilla Shake","Beverages",397,700,35,24,1.5,105,240,86,12,65,0
1532,"Grilled Chicken Sandwich Whatameal w/ Lower Calorie Sides","Sandwiches",1253,460,13,3,0,95,1070,58,35,17,9
2616,"Taco Salad, Ground Beef","Salads",569,890,56,18,1,90,1890,62,35,9,11
1600,"Farm Boy Sandwich, High Calorie","Sandwiches",370,950,50,16,1,105,1950,89,29,6,8
1023,"Bacon, Egg & Cheese Sandwich, White","Sandwiches",215,530,27,10.5,0,470,1245,41,30,1,1
230,"ButterBurger Cheese, Double","Burgers",230,700,42,18,1.4,145,920,41,40,8,1
153,"The Breakfast Burger","Burgers",294,830,44,19,1,255,1540,68,39,13,4
255,"North Atlantic Cod Filet Sandwich","Sandwiches",209,600,33,5.2,0,85,835,50,26,6,1
1282,"Pepperoni Pizza, Skinny, Medium","Pizza",230,230,12,6,0,35,610,19,11,2,1
1447,"Biscuit Sandwich w/ Bacon","Sandwiches",164,470,29,14,0,230,1170,32,18,2,1
669,"Southwest Chicken Salad w/ Crispy Chicken","Salads",428,500,23,7,0,55,1260,52,28,5,8
2035,"Chipotle Turkey on Wheat Wrap","Sandwiches",445,890,55,16,0.5,110,2105,60,42,7,7
1159,"Sausage, Egg & Cheese on Toast","Sandwiches",172,520,35,12,4,225,1450,34,18,2,0
